folder,filename,filer,doctype,filing_date,description,source_url,bytes,onedrive_url
01_Filings/8K,2025-04-22_CHRS_8K_items-5-02.pdf,CHRS,8-K,2025-04-22,8-K,https://www.sec.gov/Archives/edgar/data/1512762/000155837025005157/chrs-20250416x8k.htm,91765,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDASDYJJUnaRIghHA7v47iOAVQQgxSw-Gcot078NrIpQbI?e=7JtKI8
01_Filings/8K,2025-04-25_CHRS_8K_items-5-02.pdf,CHRS,8-K,2025-04-25,8-K,https://www.sec.gov/Archives/edgar/data/1512762/000155837025005554/chrs-20250422x8k.htm,92732,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAfis4_GSUIQJpNH_b6kRb-AbqfvQdMu-39Esu2I5hhtmI?e=4sWQuS
01_Filings/8K,2026-06-15_CHRS_8K_EX-16-1.pdf,CHRS,EX-16.1,2026-06-15,EX-16.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926074090/chrs-20260612xex16d1.htm,29141,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDQw6zc_XldQJwDY5xz9cvdATMZcqY1NMZf6c3H_0LAUzo?e=kFnInY
01_Filings/8K,2026-06-15_CHRS_8K_items-4-01_9-01.pdf,CHRS,8-K,2026-06-15,8-K,https://www.sec.gov/Archives/edgar/data/1512762/000110465926074090/chrs-20260612x8k.htm,96611,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQD_4wQJeIcnQL-xLfxMEQL6AUpEiJ1aUDqEyTfUxfM6sNs?e=2kvYFD
02_Earnings/presentations,README.txt,CHRS,,,,,420,
02_Earnings/releases,2023-11-06_CHRS_ER_Q3-2023.pdf,CHRS,EX-99.1,2023-11-06,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017778/chrs-20231106xex99d1.htm,164999,
02_Earnings/releases,2024-01-10_CHRS_ER_Jan-Prelim-Guidance-2024.pdf,CHRS,EX-99.1,2024-01-10,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024000166/chrs-20240110xex99d1.htm,56143,
02_Earnings/releases,2024-03-13_CHRS_ER_FY-Results-2024.pdf,CHRS,EX-99.1,2024-03-13,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024003110/chrs-20240313xex99d1.htm,172389,
02_Earnings/releases,2024-05-09_CHRS_ER_Q1-2024.pdf,CHRS,EX-99.1,2024-05-09,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007622/chrs-20240509xex99d1.htm,162660,
02_Earnings/releases,2024-08-08_CHRS_ER_Q2-2024.pdf,CHRS,EX-99.1,2024-08-08,EX-99.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024011618/chrs-20240807xex99d1.htm,156832,
